,Unnamed: 0,字段,标题
182,,10:51,【江苏南京：部分离开南京外出师生员工暂缓返校】8月15日，在南京市疫情防控情况新闻发布会上，南京市教育局副局长戴兴海介绍：暑假期间，部分师生员工离开南京外出，这部分人员中有两类情况应暂缓返校。一类是目前仍在市外，其所在设区市有中高风险地区的应暂缓返校。第二类是返校前21天有中高风险地区旅居史的也应暂缓返校。上述两类人员返回南京后要依据南京市疫情防控指挥部地区协防组制定的涉疫风险人员处置工作指引进行健康管理，符合条件后方可返校。（央视新闻）
181,,11:07,【郑州市第四轮全员核酸检测 已于8月15日上午9时启动】全市重点人群第三轮核酸检测累计检测88341人，检出异常结果1例，为8月15日通报的新增无症状感染者。郑州市第四轮全员核酸检测，已于8月15日上午9时分时段、分区域、分方式有序启动，我们将根据检测工作进展，及时公布检测结果。（郑州发布）
180,,11:11,【南京目前有184例本土确诊在院治疗，出现危重1例】截至目前，南京市还有184例本土确诊病例在南京市公共卫生医疗中心治疗，其中轻型36例，普通型147例，危重型1例。（央视新闻）
179,,11:15,【河南郑州学校开学时间延迟 启动线上教学】据8月15日郑州市新冠肺炎疫情防控新闻发布会通报，根据教育部中高风险地区学校暂缓开学，中高风险地区学生暂缓返校的要求，结合郑州市疫情防控工作的实际情况，原定8月25日开学，时间延迟。在报道教学方面，按照停课不停教，停课不停学要求，在延期返校期间实施线上报到，线上教学。
178,,11:16,【最高多赚30%！震荡市下指数增强基金收益亮眼】在A股市场持续震荡之下，指数增强基金却收获了不错的超额收益。数据统计发现，近一年，多只指数增强基金获得了超30个百分点的超额收益，其中，中证500的指数增强效果遥遥领先。多位指数增强基金经理表示，今年市场环境风格多次切换，押注单一风格的组合可能会有较大波动，分散投资逻辑更能跑出比较好的超额收益。
177,,11:21,欧盟、美国与加拿大联合声明：若谈判取得进展，原因重新评估制裁措施。
176,,11:22,【阿富汗大城市仅剩首都喀布尔未被攻占】综合英国《卫报》、法新社等消息，塔利班15日早些时候“兵不血刃”控制了阿富汗东部城市贾拉拉巴德。《卫报》称，该消息由一名当地官员当天早上向路透社透露。“贾拉拉巴德目前没有冲突发生，因为市长向塔利班投降了，”该官员说道，“给塔利班放行是唯一拯救平民生命的办法。”在贾拉拉巴德被塔利班控制后，喀布尔成为阿富汗政府控制的最后一个主要城市。（环球网）
175,,11:35,【南京中高风险地区生活垃圾均直运焚烧厂“即卸即烧”】8月15日上午，南京市举行第二十六次新闻发布会，通报疫情防控的最新情况。南京市城市管理局二级巡视员陈雷在会上介绍称，7月21日至8月14日，南京市共应急收运处置中高风险区域生活垃圾2686吨。陈雷表示，对此类来自中高风险区域的垃圾的清运，都采取定人、定车、定线路，按照“消毒—装载—消毒”的程序规范作业，不经中转站转运，直运焚烧厂进行处理。
174,,11:39,【8月14日 扬州市社区核酸筛查未发现检测阳性】8月15日，在扬州市疫情防控情况新闻发布会上，扬州市卫健委副主任王劲松介绍：8月14日，扬州市对主城区重点地区、重点人群进行了核酸筛查，共采样、检测119.86万人。截至8月14日24时，当日检出的阳性全部来自隔离人员，社区筛查未发现检测阳性。
173,,11:40,【新造船订单进入“减速模式”】过去几周，新造船合同的签订速度有所放缓。船舶经纪公司Allied Shipproking在其最新周报中表示，过去一周，新订单数量大幅减少，新造船市场似乎进入传统上的夏季停滞期。在干散货船板块，巴拿马型和大灵便型有一些新动向，中国船东在中国造船厂签订了几份新合同。此外，鉴于干散货航运市场总体看好，预计更多订单已在准备中。未来市场前景在很大程度上取决于未来的运价水平。（中国远洋海运杂志社）
172,,11:50,当地时间15日，阿富汗塔利班发言人穆贾希德发布消息称，该组织已经控制了楠格哈尔省省会贾拉拉巴德市。（央视新闻）
171,,11:52,【印度新增36083例新冠肺炎确诊病例 累计达32192576例】据印度卫生部15日公布的最新数据，印度新冠肺炎确诊病例升至32192576例。在过去24小时内，印度新增确诊病例36083例；新增死亡病例493例，累计死亡431225例。
170,,12:14,比特币短线下挫400美元，现报46569.58美元/枚，跌幅1.12%。
169,,12:35,【年内已有200位基金经理离职 下半年离职加速】随着公募基金行业竞争加剧及市场持续震荡，基金经理离职潮难止。年内离任基金经理接近200位，创近六年同期新高记录。其中中小型公募人才压力更大，基金经理流失持续加速。从公告披露的基金经理离任原因来看，以“个人原因”及“个人发展原因”为主。华南一位基金公司人事部人士表示，“个人原因”通常包括“公奔公”、“公奔私”、“业绩不佳未通过考核”以及公司治理等。 (中国基金报)
